TIMESTAMP: 2019-04-26 10:49:19

  Balintawak             0             1
     Kaingin             0             0
      Mu̱oz             1             0
 Bansalangin             1             1
       North             0             0
     Trinoma             0             0
      Quezon             0             0
         NIA             0             0
       Timog             2             0
    Kamuning             2             0
         New             2             0
       Monte             2             1
      Aurora             2             0
          Mc             2             0
          P.             2             0
        Main             2             2
    Santolan             2             2
       White             2             2
     Ortigas             2             0
          SM             2             2
        Shaw             2             2
    Reliance             2             2
     Pioneer             2             2
   Guadalupe             2             2
      Orense             2             2
    Kalayaan             2             2
     Buendia             2             2
       Ayala             0             0
      Arnaiz             0             0
  Magallanes             0             2
     Malibay             1             2
       Tramo             2             1
        Taft             2             2
        F.B.             0             2
       Roxas             1             2
   Macapagal             0             2
        Mall             0             0
